Job Description,Ground Truth
"iOS Developer
Require iPhone App Developers having 3 to 7 years of hands-on programming experience.
Work with one of the finest mobile apps production companies in Ahmedabad, India.
Photo & Video. Business. Finance. Productivity. Kids. All major app categories.
Work where #quality is more valued than just delivering as per the scope.
Work with cross-functional collaborative teams Analysts, Designers, and Architects!
Swift. Core Data. Core Animation. Firebase. Debugging. Apple HIG. PN. APIs. GitLab. And CI. Deep understanding of UX.
Super-communicators: written and oral. (Non-negotiable).
Dynamic CTC. Earn 50% more if you can beat the expectations.
Flexible work timings. Available as a perk to those who are attentive and exceed expectations.
No red-tape. Either you finish whats important, or you dont. Straightness. Applied.
Job Type: Full-time
Schedule:
Morning shift
Experience:
work: 1 year (Preferred)
total work: 1 year (Preferred)
iOS: 1 year (Preferred)
Education:
Bachelor's (Preferred)
Programming Languages needed:
Objective-C (Preferred)
Work Remotely:
No",": 

Objective: Seeking the position of iOS Developer at one of the finest mobile apps production companies in Ahmedabad, India.

Summary:
- 4 years of experience as an iOS developer with expertise in Swift, Core Data, Core Animation, and Firebase.
- Proficient in debugging, Apple HIG, PN, APIs, GitLab, and CI.
- Strong understanding of UX and able to develop user-friendly iOS apps that enhance user experience.
- Excellent communication skills, both written and oral.
- Bachelor's degree in Computer Science.

Work Experience:
iOS Developer, XYZ Company, Ahmedabad, India
- Developed and maintained iOS apps for various categories such as Photo & Video, Business, Finance, Productivity, and Kids.
- Worked with cross-functional teams including Analysts, Designers, and Architects to ensure high-quality app development.
- Implemented new features and optimized existing ones to improve app performance.
- Achieved a 20% increase in app downloads and a 15% decrease in app crashes by optimizing app performance.

iOS Developer, ABC Company, Mumbai, India
- Developed and maintained iOS apps for various categories such as Education, Entertainment, and Health & Fitness.
- Collaborated with the design team to develop user-friendly UI/UX for iOS apps.
- Debugged and fixed issues to ensure smooth app performance.
- Improved app ratings from 3.5 to 4.5 by optimizing app performance and implementing new features.

Certifications:
- Apple Certified iOS Developer.

"
"Full Stack Developer
yesware seeking full stack software engineer join talented development team created feature-rich backend architecture data platform along apps gmail outlook web together provide leading prescriptive sale platform serf 100k sale professional worldwide value insight creativity engineer 'll work side-by- side product owner create high-quality product fast pace culture foster innovation excellence engineering practice developer responsible quality produce well putting code production keeping healthy internal open-source model 'll learn extend rest technology stack realize feature 're working requirement industry experience software development minimum 1 year additional experience highly valued full-stack engineering experience ruby/rails environment similar experience implementing front end using technology html cs javascript jquery d3 and/or angular evidence exposure architectural pattern large high-scale web application e.g well-designed apis high volume data pipeline efficient algorithm excellent software development habit object-oriented design unit testing integration testing data structure etc hands-on attitude willingness get thing done excellent oral written communication skill emotional maturity adaptability nice experience developing email tool experience developing saas offering desire learn tool stack company yesware team smart ambitious kind people working together empower customer build market sell one-of-a-kind sale platform help salesperson sell smarter right inbox find u 15th floor office conveniently located downtown boston offer competitive compensation comprised salary equity bonus also offer growing list benefit health dental 401 k life insurance flexible spending account well gym public transportation reimbursement n't worry vacation take need additional perk include weekly wellness class professional coaching free daily catered lunch ride home uber need yesware proud venture-backed investor including foundry group battery venture google venture customer range young startup size biggest name business like yelp acquia groupon zendesk many live core value everyday mission serve customer make yesware best place ever worked yesware committed developing culture embrace diversity foster inclusivity make u stronger individual business right thing know diversity come many form welcome employee walk life bring differing experience perspective yesware together build environment every single member team bring authentic self work heard work toward achieving professional potential"," - :

Name: John Doe

Contact Information: 
Email: johndoe@email.com
Phone: 555-555-5555

Summary:
Full Stack Software Engineer with over 2 years of experience in developing web applications and APIs using Ruby on Rails and Angular. Strong understanding of object-oriented design, data structures, and algorithms. Experience with large-scale, high-volume data pipelines and designing efficient algorithms. Excellent communication skills and a hands-on attitude to get things done.

Professional Experience:

Software Engineer, XYZ Corporation
June 2019 - Present
- Worked on developing and maintaining the backend architecture of a data platform using Ruby on Rails.
- Designed and implemented RESTful APIs for web and mobile applications.
- Developed front end using Angular, HTML, CSS, and JavaScript.
- Implemented data pipelines to handle large volumes of data efficiently.

Software Developer, ABC Inc.
January 2018 - May 2019
- Developed full-stack web applications using Ruby on Rails.
- Implemented front end using Angular, HTML, CSS, and JavaScript.
- Designed and maintained databases using PostgreSQL.
- Developed and maintained RESTful APIs.

Education:

Bachelor of Science in Computer Science, XYZ University
September 2014 - June 2018
- Relevant coursework: Object-Oriented Programming, Algorithms and Data Structures, Database Systems, Web Development.

Certifications:

Ruby on Rails Certification, Udemy
Angular Certification, Coursera

"
"Java Developer
Staff Engineer (Java Full Stack)
6 to 9 years of experience
ABOUT NAGARRO:
Nagarro helps clients transform, adapt, and build new ways into the future through an entrepreneurial, agile, and caring mindset. We excel at digital product engineering and deliver on our promise of thinking breakthroughs. Today, we are 8,400+ experts across 25 countries, forming a Nation of Nagarrians, ready to help our customers succeed.
At Nagarro, you can look forward to a work culture that is dynamic and non-hierarchical. You will be given opportunities to add value to challenging and complex assignments, while collaborating with world class technologists. The versatile environment here, helps foster fresh perspectives and enables you to deliver high quality code. There will be ample opportunities provided for skill upgradation to accelerate your professional and personal development.
WHAT MAKES YOU A GOOD FIT FOR THIS ROLE:
Relevant experience in Java 8 or higher, Spring Framework-Core/Boot/MVC, Hibernate/JPA, HTML, CSS, Angular4+, React JS/Ember.js/Vue.js, JavaScript and Microservices Architecture.
Experience in SOA based architecture, Web Services (Apache/CXF/JAXWS/JAXRS/SOAP/REST)
Experience in CI/CD DevOps - Jenkins/Docker/Ansible, Cloud AWS Unit Testing, Performance Tuning,
Hands on experience of RDBMS like SQL Server, Oracle, MySQL, PostgreSQL.
A good understanding of UML and design patterns
Knowledge of high-quality professional software engineering practices for agile software development cycle, including coding standards, code reviews, source control management, build processes, testing, and deployment
Fundamental knowledge of design patterns
Experience in communicating effectively with users, other technical teams, and management to collect requirements, describe software product features, and technical designs
Passionate about building great solutions
Mentoring the team members to meet the client's needs and holding them accountable for high standards of delivery
Being able to understand and relate technology integration scenarios and be able to apply these learnings in complex troubleshooting scenarios
WHAT ARE YOUR RESPONSIBILITIES:
Writing and reviewing great quality code
Understanding functional requirements thoroughly and analyzing the clients needs in the context of the project
Envisioning the overall solution for defined functional and non-functional requirements, and being able to define technologies, patterns and frameworks to realize it
Determining and implementing design methodologies and tool sets
Enabling application development by coordinating requirements, schedules, and activities.
Being able to lead/support UAT and production roll outs
Creating, understanding and validating WBS and estimated effort for given module/task, and being able to justify it
Addressing issues promptly, responding positively to setbacks and challenges with a mindset of continuous improvement
Giving constructive feedback to the team members and setting clear expectations.
Helping the team in troubleshooting and resolving of complex bugs
Coming up with solutions to any issue that is raised during code/design review and being able to justify the decision taken
Carrying out POCs to make sure that suggested design/technologies meet the requirements"," - 

Name: John Doe
Email: johndoe@email.com
Phone: 123-456-7890

Summary:
A highly experienced Java Developer with over 8 years of experience in Java 8 or higher, Spring Framework-Core/Boot/MVC, Hibernate/JPA, HTML, CSS, Angular4+, React JS/Ember.js/Vue.js, JavaScript and Microservices Architecture. Proven expertise in SOA based architecture, Web Services (Apache/CXF/JAXWS/JAXRS/SOAP/REST), and Cloud AWS Unit Testing. Strong ability to envision the overall solution for defined functional and non-functional requirements, and being able to define technologies, patterns and frameworks to realize it. Excellent communication and mentoring skills.

Skills:
- Java 8 or higher
- Spring Framework-Core/Boot/MVC
- Hibernate/JPA
- HTML, CSS, Angular4+, React JS/Ember.js/Vue.js, JavaScript
- Microservices Architecture
- SOA based architecture
- Web Services (Apache/CXF/JAXWS/JAXRS/SOAP/REST)
- CI/CD DevOps - Jenkins/Docker/Ansible
- Cloud AWS Unit Testing
- RDBMS like SQL Server, Oracle, MySQL, PostgreSQL.
- UML and design patterns

Work Experience:
Staff Engineer, Java Full Stack Developer
ABC Company, New York, NY
May 2018 - Present

- Writing and reviewing great quality code
- Envisioning the overall solution for defined functional and non-functional requirements
- Determining and implementing design methodologies and tool sets
- Enabling application development by coordinating requirements, schedules, and activities
- Leading/supporting UAT and production rollouts
- Creating, understanding and validating WBS and estimated effort for given module/task, and being able to justify it
- Addressing issues promptly, responding positively to setbacks and challenges with a mindset of continuous improvement
- Giving constructive feedback to the team members and setting clear expectations
- Helping the team in troubleshooting and resolving of complex bugs
- Carrying out POCs to make sure that suggested design/technologies meet the requirements

Education:
Bachelor of Science in Computer Science
XYZ University, New York, NY
September 2012 - May 2016

Certification:
Oracle Certified Professional, Java SE 8 Programmer

"
"Network Administrator
looking for it desktop engineer freshers can also apply
The Role: -
Reporting to the Infrastructure Manager, like the Desktop Engineer you will have a strong background in Desktop Management.
Working with the Global Unix/Linux, DBA Team you will be responsible for providing quality services to external managed service clients as well as internal business units. You may be required to participate in an on-call roster system to support our global offices and clients.
This exciting opportunity offers you the chance to work in diverse environments and be responsible for the provision of system support across multiple domains, design/quote/delivery projects as well as consulting and pre-sales opportunities.
How you will contribute: -
This is a busy and challenging role, which will see you undertake a range of activities including:
Address user tickets regarding application support, hardware, software and networking
Walk customers through installing applications and computer peripherals
Ask targeted questions to diagnose problems
Guide users with simple, step-by-step instructions
Conduct remote troubleshooting
Test alternative pathways until you resolve an issue
Prepare desktop, laptops applications to meet user needs
Record technical issues and solutions in logs
Direct unresolved issues to the next level of support personnel
Follow up with clients to ensure their systems are functional Provide Technical Leadership that ensures a strong focus on service continuity, helps us do business and achieves the global IT Strategy.
Skills:-
0-2 years of relevant skills
Any Graduate can apply Preferred is Computer stream
Good Communication skills Fluent English is needed
WHATSAPP YOUR CV ON (+9I-72-52-88-87-96 ) HR TEAM"," - :

Name: John Smith
Email: johnsmith@email.com
Phone: 555-555-5555

Objective: To obtain a position as a Network Administrator, utilizing my skills and experience in Desktop Management and providing quality services to external managed service clients as well as internal business units.

Skills:
- 2 years of experience in Desktop Management
- Strong knowledge of hardware, software, and networking
- Experience in diagnosing and resolving technical issues
- Ability to guide users with simple, step-by-step instructions
- Experience in conducting remote troubleshooting
- Strong communication skills in English

Work Experience:
Network Administrator - XYZ Inc. - 2019-2021
- Addressed user tickets regarding application support, hardware, software, and networking
- Walked customers through installing applications and computer peripherals
- Conducted remote troubleshooting
- Prepared desktop and laptop applications to meet user needs
- Recorded technical issues and solutions in logs
- Followed up with clients to ensure their systems are functional

Desktop Engineer - ABC Corp. - 2018-2019
- Installed, configured, and maintained desktop systems
- Conducted hardware and software upgrades
- Provided technical support to end-users
- Conducted remote troubleshooting

Education:
Bachelor of Science in Computer Science - XYZ University - 2018

Certifications:
CompTIA A+ Certification - 2018

"
"iOS Developer
Develop iPhone and iPad handset clients
 Develop architecture and low end designs based on customer and product management requirements
 Communication of designs and other development issues to developers and managers
 Design, develop and manage automated unit and acceptance tests
 Peer review of design code and tests
 Participate in agile development program
 Bug Fixing
 Take ownership of deliverables
 Adhere to development methodologies
ESSENTIAL SKILLS/ATTRIBUTES:
 Minimum 5 years Objective-C development
 Experience of architecture patterns: MVP, MVC, MVVM.
 Experience developing Universal apps across iOS7, iOS8 and iOS9
 Experience in Unit testing (Mandatory)/ Mocking; UML Diagrams / design docs; Dependency tools; and CI (Continuous Integration)
 Proficiency in Xcode, Interface Builder and Instruments.
 Appreciation for the limitations of handset development, especially networking related issues
 Attention to detail and subtleties of UI design and implementation
 Understanding of design patterns
 Ability to design for scalability and resilience
 Strong application process flow and problem solving techniques
 Strong focus on refactoring and code quality
 Understanding of software configuration management and release management
 High levels of software engineering literacy and communication skills
 Friendly and professional manner
 Third Level Qualifications in computing, mathematics or science
 Experience with auto-layout and constraints
DESIRED SKILLS:
 Experience of working in an agile (XP) environment
 Experience working with Core Data
 Experience of delivering Libraries / SDK
 Familiarity with libraries such as AFNetworking and RestKit
 Experience of other mobile platforms a plus (Android, Windows Phone/Mobile, BB10)
 Product development and lifecycle experience
 Experience of unit testing and Test-Driven Development
 Scripting (JavaScript, Ruby, Python, Shell, etc.)
 Knowledge of build systems such as Maven
 RESTful development
 XML, JSON, HTTP, SyncML, HTML 5, CSS, Groovy, UML
00-14.00 Years"," – 

Objective: iOS Developer with over 7 years of experience in Objective-C development, seeking a position to develop iPhone and iPad handset clients in an agile development program.

Work Experience:
- Developed architecture and low-end designs based on customer and product management requirements for more than 10 iOS applications.
- Designed, developed, and managed automated unit and acceptance tests using Xcode, Interface Builder, and Instruments.
- Peer-reviewed design code and tests for a team of 5 developers and managers.
- Bug fixed more than 200 issues and took ownership of deliverables for all applications.
- Adhered to development methodologies and designed for scalability and resilience.

Skills:
- Proficient in Objective-C development with experience in architecture patterns: MVP, MVC, MVVM.
- Developed Universal apps across iOS7, iOS8, and iOS9.
- Experience in Unit testing, UML Diagrams, design docs, Dependency tools, and CI (Continuous Integration).
- Designed for scalability and resilience and refactored code for quality.
- Knowledge of software configuration management and release management.
- Strong focus on application process flow and problem-solving techniques.
- Familiarity with libraries such as AFNetworking and RestKit.
- Third Level Qualifications in computing, mathematics or science.

"
"Software Engineer
Role/Department Description:
Software Engineer SI Search and Lookup
Location: Hyderabad
Department: Systems Infrastructure
The SI - Search and Lookup Group is seeking a motivated engineer to work on the search and lookup systems within Factset. This position provides the opportunity to work and develop the typeahead, search and lookup capabilities for the new workstation and the web.
The responsibilities involve working with Application and Content Product Developers as well as other engineering teams to ensure that searching within Factset products is simple, fast and intuitive.
You would have the opportunity to work on improving the search algorithm by improving relevancy, scoring, learning, prediction and analysis processes within the Factsearch, Formula search and typeahead systems.
The team also owns the Identifier Lookup 4 and Series Lookup backends, which allows you to filter results based on your requirements.
In addition, by being part of systems that are embedded in various other applications, there will be a broad exposure to FactSet business practices and products. This provides more opportunities to develop individual financial asset knowledge and technical engineering skills.
Responsibilities:
50% Learning & Training: Participate in training, execute on labs effectively and learn the processes and technologies used in house Proficiency with the tools, libraries and languages used in development
40% Develop, test and deploy software Additional features and/or content is released to solution end users
10% Communicate and collaborate with product developers, direct manager and engineering peers to develop the correct solutions Effective project planning and development of expected solutions
Required Skills:
Has an undergraduate degree in Computer Science or equivalent training
Ability to develop software in the required languages and using required 3rd party tools, applications and libraries where needed.
Ability to learn and apply internal systems and processes for developing and deploying software
Ability to communicate effectively with peers within the organization
Nice to Haves:
Experience in programming with Perl and Python.
Experience in working with web services.
Some experience with programming in C++.
Experience with SQL.
Experience with Elasticsearch
Experience with RESTful web services"," ():

Name: John Smith
Email: john.smith@email.com
Phone: 123-456-7890

Objective: Seeking a position as a Software Engineer in the SI - Search and Lookup Group at Factset in Hyderabad.

Education:
- Bachelor's degree in Computer Science from XYZ University

Skills:
- Proficient in developing software using Python, Perl, C++, and SQL
- Experience with Elasticsearch and RESTful web services
- Strong understanding of web services and libraries
- Excellent communication skills and ability to work in a team environment

Work Experience:
Software Engineer at ABC Company (2018-2021)
- Developed software applications using Python and Perl
- Worked with web services and RESTful APIs
- Improved search algorithm of Factsearch and Formula search systems by analyzing and predicting user behavior
- Collaborated with product developers and engineering teams to develop solutions

Certifications:
- Certified Python Developer (2020)

KPIs:
- Improved Factsearch and Formula search systems' search relevancy by 20%
- Reduced search latency by 15%

"
"iOS Developer
Basic Requirements:
Min of 3 years solid experience with Objective-C and Swift
Push Notifications
Solid in object-oriented design, data structures and algorithms
Good visual design aesthetic and creative drive with a passion for user experience
A passion for great user experiences across users of all ages
Experience deploying at least couple of iOS apps that are currently available in the App Store
Understand the complexities of and help integrate different third-party SDKs
Experience with Protocols like REST and SOAP
Familiar with GIT or SVN
Experience with third-party libraries and APIs
Working knowledge of the general mobile landscape, architectures, trends, and emerging technologies
Solid understanding of the full mobile development life cycle
Proven Skills & Technical Requirements:
Experience with iOS Core Graphics and Core Data
3rd Party API Integrations
Proven experience in location based services
Should have expertise with integrating Analytics for iOS Devices
Familiar with multi threading
Familiar with a variety of design patterns
Bonus Qualifications:
BE/B.Tech in Computer Science from an institute of repute.
Experience working in Agile software development methodology
Stay on top of new technologies and trends in the mobile space
Ability to work on a small team with minimal supervision
Additional knowledge of RESTful services and other server-side principles is a plus"," ():

Name: John Doe

Email: johndoe@email.com

Objective: iOS Developer

Summary:

I am a highly skilled and experienced iOS Developer with over 4 years of experience in developing and deploying iOS applications. I have a strong understanding of Objective-C and Swift, and I am adept in object-oriented design, data structures, and algorithms. My passion for user experience drives my creative design aesthetic, and I have a proven track record of delivering great user experiences across all ages. I have experience integrating third-party SDKs and libraries, REST and SOAP protocols, and GIT and SVN. I am familiar with the mobile landscape, architectures, trends, and emerging technologies. 

Skills:

- Objective-C and Swift
- Object-oriented design, data structures, and algorithms
- Visual design aesthetic and creative drive
- User experience design
- Third-party SDKs and libraries
- Protocols like REST and SOAP
- GIT and SVN
- iOS Core Graphics and Core Data
- 3rd Party API Integrations
- Location-based services
- Analytics for iOS devices
- Multi-threading
- Variety of design patterns

Experience:

iOS Developer - XYZ Company (2018-Present)

- Developed and deployed 3 iOS apps currently available in the App Store
- Integrated third-party SDKs and libraries for enhanced user experience
- Implemented REST and SOAP protocols for efficient data transfer
- Utilized iOS Core Graphics and Core Data for visual design and data management
- Integrated Analytics for iOS devices to monitor user behavior
- Collaborated on a small team with minimal supervision

iOS Developer - ABC Company (2016-2018)

- Developed and deployed 2 iOS apps currently available in the App Store
- Utilized third-party APIs for enhanced functionality
- Integrated location-based services for user convenience
- Implemented multi-threading for improved performance
- Utilized a variety of design patterns for efficient code organization

Education:

- BE in Computer Science from XYZ University (2016)

Certifications:

- iOS App Development Certification from XYZ Institute (2017)

"
"Django Developer
Skills and Requirements
Strong knowledge in algorithm and data structure,
Understanding of design principles behind a scalable application,
Knowledge in relational, NoSql database technologies and exposure to Big Data & Real time analytics is a plus,
Experience in using a public cloud such as Amazon AWS, Google cloud or Microsoft Azure is a plus.",": 

Objective: Seeking a Django Developer position that utilizes my strong knowledge in algorithm and data structure and understanding of design principles behind a scalable application.

Skills:
- Strong knowledge in algorithm and data structure
- Understanding of design principles behind a scalable application
- Knowledge in relational, NoSql database technologies
- Experience in using a public cloud such as Amazon AWS

Experience:
- Developed and maintained scalable Django web applications using algorithm and data structure concepts.
- Worked on a large-scale project that involved designing a scalable application for handling high amounts of traffic.
- Developed Django applications that use relational and NoSql databases.
- Experience in using Amazon AWS for hosting and deploying Django applications.

Education:
- Bachelor's Degree in Computer Science from XYZ University.

Certifications:
- AWS Certified Developer - Associate

"
"Software Engineer
Skills and Experience:
 6+ years of software development experience building enterprise applications.
 Excellent programming skills in .NET Core, Web API, Entity Framework.
 Good knowledge of writing SQL queries and procedures.
 Experience with Common Design Patterns and adhering to SOLID principles.
 Experience with developing rich and responsible web applications.
 Good knowledge of writing Unit and Integration Tests.
Job Type: Full-time
Education:
Bachelor's (Required)
Industry:
Software Development
Work Remotely:
Temporarily due to COVID-19"," ():
 
Name: John Doe

Summary:
An experienced software engineer with over 8 years of experience in building enterprise applications. Proficient in .NET Core, Web API, Entity Framework, and SQL. Skilled in writing unit and integration tests. Familiar with common design patterns and SOLID principles. Adept at developing rich and responsive web applications.

Work Experience:
Software Engineer, ABC Corp, New York, NY (2018 - Present)
- Developed and maintained enterprise applications using .NET Core, Web API, and Entity Framework.
- Wrote complex SQL queries and procedures to optimize database performance.
- Implemented unit and integration tests to ensure code quality and maintainability.
- Collaborated with cross-functional teams to identify, troubleshoot and resolve software defects.

Software Developer, XYZ Inc, San Francisco, CA (2015 - 2018)
- Worked on the development of a web-based SaaS application using .NET Framework and Web API.
- Built and optimized SQL queries and procedures for efficient data retrieval and manipulation.
- Developed and maintained automated unit and integration tests.
- Collaborated with cross-functional teams to ensure timely delivery of software releases.

Education:
Bachelor of Science in Computer Science, University of California, Berkeley, CA (2015)

Certifications:
Microsoft Certified: Azure Developer Associate
AWS Certified Developer - Associate

"
"Backend Developer
We are looking software Engineer in Backend
At least 2 to 6 years of Core Java.
Strong knowledge of OOAD.
Strong knowledge of Spring framework spring boot.
Good knowledge of data structures and algorithms.
Strong knowledge of relational database.
You will be responsible for scaling the business processes to meet future business growth through automation and workflows.
Research and Details oriented mind-set.
Good knowledge of any Application Server like Tomcat.
Ability to work independently and within a team
Skills required - Java, JPA Spring Boot (boot is must) Hibernate, MYSQL, Data Structures, Algorithms, mongoDB etc.
Notice Period - immediate joiner/ 15days
About Company
Company Name - PayMonk (Actas Technologies Pvt. Ltd).
Paymonk is the leading FINTECH company and is funded by the Investor .
www.paymonk.com
PayMonk is a FINTECH brand of ACTAS Technologies Private Limited. Headquartered in Noida, PayMonk is a rapidly growing full service FINTECH Solutions organization, providing cutting edge integrated Digital Financial Transaction Platform to its customers in India, North America, Europe & Africa. As a trusted partner to its customers, PayMonk provides its Digital Financial Transaction Platform to its customers by leveraging its strong technology expertise specific to the Financial domain.
Products-- Payment Gateway, Payment Wallet, AEPS, PoS, MPoS Money Transfer, Bill Payments, UPI ,MICRO ATM,PAN Card, IRCTC & many more services.
Job Type: Full-time
Salary: 300,000.00 - 800,000.00 per year
Experience:
spring boot: 1 year (Preferred)
total work: 1 year (Preferred)
Java: 1 year (Preferred)
data structures: 1 year (Preferred)
Education:
Bachelor's (Preferred)",": 

PayMonk (Actas Technologies Pvt. Ltd)
Backend Developer

I am an experienced backend developer with over 2 years of experience in Core Java, Spring Framework, and Spring Boot. I possess strong knowledge of OOAD and data structures and algorithms. I have also worked extensively with relational databases, particularly MySQL. Additionally, I am familiar with MongoDB and have worked on several projects that involve it.

My previous work experience includes developing backend systems for several fintech companies. I worked on building payment gateways, wallets, and other financial transaction platforms. I have also developed several APIs for integrating payment systems with different applications. I have a research and detail-oriented mindset, which has enabled me to build scalable and efficient systems.

I am an independent worker and a team player who can work seamlessly in a team. I am available to join immediately and can work within a 15-day notice period.

"
